Taxonomic Identification,Phylum or Class,Date,Station Number,Depth (m),Actual Count,Density (cells/mL),Biovolume (cubic micrometers/mL),Cell Volume (cubic micrometers/cell)
Plagioselmis prolonga,CRYPTOPHYTA,4/27/2016,18,1,52,258.7,36500.1,141.1
Teleaulax sp.,CRYPTOPHYTA,4/27/2016,18,1,56,278.6,271581.2,974.9
Unknown Cryptophyte,CRYPTOPHYTA,4/27/2016,18,1,2,0.4,1938.7,4846.7
Chroococcus microscopicus,CYANOPHYCEAE,4/27/2016,18,1,246,17539.5,4702,0.3
Dinophysis sp.,DINOPHYCEAE,4/27/2016,18,1,1,3.6,20933.4,5763.8
Heterocapsa rotundata,DINOPHYCEAE,4/27/2016,18,1,22,109.4,11460,104.7
Heterocapsa triquetra,DINOPHYCEAE,4/27/2016,18,1,2,9.9,25337,2546.8
Katodinium sp.,DINOPHYCEAE,4/27/2016,18,1,1,5,3797.4,763.4
Peridinium sp.,DINOPHYCEAE,4/27/2016,18,1,2,9.9,57758.4,5805.7
Phalacroma oxytoxoides,DINOPHYCEAE,4/27/2016,18,1,1,5,52507.6,10555.7
Protoperidinium sp.,DINOPHYCEAE,4/27/2016,18,1,1,3.6,2715.6,747.7
Unknown Dinoflagellate,DINOPHYCEAE,4/27/2016,18,1,3,14.9,5000.7,335.2
Unknown Euglenophyte,EUGLENOPHYTA,4/27/2016,18,1,1,3.6,2091.8,576.3
Actinoptychus senarius,BACILLARIOPHYTA,4/27/2016,22,1,2,11.9,5646.4,475.2
Aulacoseira sp.,BACILLARIOPHYTA,4/27/2016,22,1,1,0.2,292,1460.1
Coscinodiscus radiatus,BACILLARIOPHYTA,4/27/2016,22,1,1,0.2,26663.6,133316.5
Navicula spp.,BACILLARIOPHYTA,4/27/2016,22,1,1,3.6,60592.5,16683.4
Nitzschia incerta,BACILLARIOPHYTA,4/27/2016,22,1,1,3.6,1160.4,319.5
Nitzschia spp.,BACILLARIOPHYTA,4/27/2016,22,1,6,35.6,1176.4,33
Paralia sulcata,BACILLARIOPHYTA,4/27/2016,22,1,6,35.6,8959.6,251.3
Skeletonema sp.,BACILLARIOPHYTA,4/27/2016,22,1,16,95.1,6719.7,70.7
Thalassionema nitzschioides,BACILLARIOPHYTA,4/27/2016,22,1,1,5.9,1550.7,261
Thalassiosira angulata,BACILLARIOPHYTA,4/27/2016,22,1,1,3.6,4381.4,1206.4
Thalassiosira spp.,BACILLARIOPHYTA,4/27/2016,22,1,27,160.4,148170,923.6
Tryblionella kuetzingii,BACILLARIOPHYTA,4/27/2016,22,1,1,5.9,5973.1,1005.3
Unknown Diatom,BACILLARIOPHYTA,4/27/2016,22,1,24,1711.2,32926.7,19.2
Unknown Diatom,BACILLARIOPHYTA,4/27/2016,22,1,20,118.8,10079.6,84.8
Pseudoscourfieldia marina,CHLOROPHYTA,4/27/2016,22,1,1,71.3,1008,14.1
Pyramimonas spp.,CHLOROPHYTA,4/27/2016,22,1,1,5.9,252.8,42.6
Pyramimonas spp.,CHLOROPHYTA,4/27/2016,22,1,3,17.8,6066.4,340.3
Unknown Ciliate,CILIOPHORA,4/27/2016,22,1,1,3.6,3042.7,838.2
Cryptomonas spp.,CRYPTOPHYTA,4/27/2016,22,1,2,11.9,6769.5,569.7
Plagioselmis prolonga,CRYPTOPHYTA,4/27/2016,22,1,95,564.4,108760,192.7
Teleaulax sp.,CRYPTOPHYTA,4/27/2016,22,1,56,332.7,264981.2,796.4
Unknown Cryptophyte,CRYPTOPHYTA,4/27/2016,22,1,2,142.6,1194.6,8.4
Unknown Cryptophyte,CRYPTOPHYTA,4/27/2016,22,1,2,11.9,2588.3,217.9
Chroococcus microscopicus,CYANOPHYCEAE,4/27/2016,22,1,203,14473.6,3880.1,0.3
Heterocapsa rotundata,DINOPHYCEAE,4/27/2016,22,1,63,374.3,39198.4,104.7
Heterocapsa triquetra,DINOPHYCEAE,4/27/2016,22,1,3,0.6,2381.7,3969.4
Peridinium sp.,DINOPHYCEAE,4/27/2016,22,1,6,1.2,10053.2,8377.6
Unknown Dinoflagellate,DINOPHYCEAE,4/27/2016,22,1,2,11.9,3422.1,288.1
Unknown Dinoflagellate,DINOPHYCEAE,4/27/2016,22,1,3,17.8,5973.1,335.2
Unknown Dinoflagellate,DINOPHYCEAE,4/27/2016,22,1,4,0.8,522.8,653.5
Actinoptychus senarius,BACILLARIOPHYTA,4/27/2016,27,1,1,13.4,16127.3,1206.4
Diploneis sp.,BACILLARIOPHYTA,4/27/2016,27,1,1,0.2,857.7,4288.3
Eunotogramma dubium,BACILLARIOPHYTA,4/27/2016,27,1,5,66.8,26878.9,402.1
Nitzschia spp.,BACILLARIOPHYTA,4/27/2016,27,1,5,66.8,2606.9,39
Nitzschia spp.,BACILLARIOPHYTA,4/27/2016,27,1,1,0.2,963.6,4818.1
Paralia sulcata,BACILLARIOPHYTA,4/27/2016,27,1,15,200.5,152453.8,760.3
Skeletonema sp.,BACILLARIOPHYTA,4/27/2016,27,1,89,1189.8,70084.7,58.9
Thalassiosira angulata,BACILLARIOPHYTA,4/27/2016,27,1,2,26.7,17744.3,663.7
Thalassiosira spp.,BACILLARIOPHYTA,4/27/2016,27,1,25,334.2,131244.7,392.7
Unknown Diatom,BACILLARIOPHYTA,4/27/2016,27,1,7,1497.3,21167.1,14.1
Unknown Diatom,BACILLARIOPHYTA,4/27/2016,27,1,15,200.5,17009.3,84.8
Unknown Diatom,BACILLARIOPHYTA,4/27/2016,27,1,1,13.4,5197.3,388.7
Unknown Diatom,BACILLARIOPHYTA,4/27/2016,27,1,1,13.4,6417.3,480
Unknown Diatom,BACILLARIOPHYTA,4/27/2016,27,1,1,3.6,13706.8,3776
Cryptomonas spp.,CRYPTOPHYTA,4/27/2016,27,1,8,106.9,34270.6,320.4
Plagioselmis prolonga,CRYPTOPHYTA,4/27/2016,27,1,32,427.8,78844.8,184.3
Teleaulax sp.,CRYPTOPHYTA,4/27/2016,27,1,56,748.6,332010.5,443.5
Chroococcus microscopicus,CYANOPHYCEAE,4/27/2016,27,1,212,45345.9,12156.4,0.3
Heterocapsa rotundata,DINOPHYCEAE,4/27/2016,27,1,51,681.8,102811.8,150.8
Heterocapsa triquetra,DINOPHYCEAE,4/27/2016,27,1,1,3.6,10442,2875.1
Unknown Dinoflagellate,DINOPHYCEAE,4/27/2016,27,1,1,13.4,8735.7,653.4
Unknown Euglenophyte,EUGLENOPHYTA,4/27/2016,27,1,1,13.4,1574.9,117.8
Actinoptychus senarius,BACILLARIOPHYTA,4/27/2016,36,1,11,132.9,88220.1,663.7
Chaetoceros sp.,BACILLARIOPHYTA,4/27/2016,36,1,4,48.4,52257.7,1079.1
Craticula buderi,BACILLARIOPHYTA,4/27/2016,36,1,3,36.3,21867.6,603.2
Craticula elkab,BACILLARIOPHYTA,4/27/2016,36,1,1,12.1,5466.9,452.4
Craticula sp.,BACILLARIOPHYTA,4/27/2016,36,1,1,12.1,6833.6,565.5
Entomoneis sp.,BACILLARIOPHYTA,4/27/2016,36,1,1,0.7,3782.5,5645.5
Eunotogramma dubium,BACILLARIOPHYTA,4/27/2016,36,1,1,12.1,2847.3,235.6
Navicula spp.,BACILLARIOPHYTA,4/27/2016,36,1,1,12.1,10819.9,895.4
Nitzschia sigma,BACILLARIOPHYTA,4/27/2016,36,1,1,0.7,3580,5370
Nitzschia spp.,BACILLARIOPHYTA,4/27/2016,36,1,15,181.3,17129.8,94.5
Nitzschia spp.,BACILLARIOPHYTA,4/27/2016,36,1,2,24.2,7975.8,330
Paralia sulcata,BACILLARIOPHYTA,4/27/2016,36,1,14,169.2,79725.6,471.2
Skeletonema sp.,BACILLARIOPHYTA,4/27/2016,36,1,82,990.9,47669.3,48.1
Thalassiosira angulata,BACILLARIOPHYTA,4/27/2016,36,1,1,12.1,9301.3,769.7
Thalassiosira spp.,BACILLARIOPHYTA,4/27/2016,36,1,34,410.9,272680.5,663.7
Tryblionella kuetzingii,BACILLARIOPHYTA,4/27/2016,36,1,1,12.1,4228.3,349.9
Unknown Diatom,BACILLARIOPHYTA,4/27/2016,36,1,17,12120.8,171353.1,14.1
Unknown Diatom,BACILLARIOPHYTA,4/27/2016,36,1,58,700.9,59452.5,84.8
Cryptomonas spp.,CRYPTOPHYTA,4/27/2016,36,1,3,36.3,20652.7,569.7
Plagioselmis prolonga,CRYPTOPHYTA,4/27/2016,36,1,36,435,87470.3,201.1
Teleaulax sp.,CRYPTOPHYTA,4/27/2016,36,1,45,543.8,241169.9,443.5
Chroococcus microscopicus,CYANOPHYCEAE,4/27/2016,36,1,194,138319.2,37080.9,0.3
Heterocapsa rotundata,DINOPHYCEAE,4/27/2016,36,1,4,48.3,3796.5,78.5
Asterionella formosa,BACILLARIOPHYTA,4/27/2016,649,1,3,24.7,19283.9,781.4
Aulacoseira granulata,BACILLARIOPHYTA,4/27/2016,649,1,42,345.5,1330002,3849.2
Aulacoseira sp.,BACILLARIOPHYTA,4/27/2016,649,1,83,682.8,3889145.6,5695.7
Cocconeis placentula,BACILLARIOPHYTA,4/27/2016,649,1,7,57.6,15196.9,263.9
Cyclostephanos sp.,BACILLARIOPHYTA,4/27/2016,649,1,3,24.7,16379.3,663.7
Diatoma moniliformis,BACILLARIOPHYTA,4/27/2016,649,1,1,8.2,2035.3,247.4
Diatoma vulgaris,BACILLARIOPHYTA,4/27/2016,649,1,1,0.2,490.1,2450.4
Fragilaria brevistriata,BACILLARIOPHYTA,4/27/2016,649,1,15,123.4,33921.7,274.9
Fragilaria sp.,BACILLARIOPHYTA,4/27/2016,649,1,2,16.5,2558.7,155.5
Frustulia vulgaris,BACILLARIOPHYTA,4/27/2016,649,1,1,0.2,698.4,3491.9
Gomphoneis sp.,BACILLARIOPHYTA,4/27/2016,649,1,1,8.2,9758,1186.1
Gyrosigma sp.,BACILLARIOPHYTA,4/27/2016,649,1,1,3.6,49379.3,13603.1
Melosira varians,BACILLARIOPHYTA,4/27/2016,649,1,9,74,327509.2,4423.4
Navicula spp.,BACILLARIOPHYTA,4/27/2016,649,1,1,3.6,1835.6,505.4
Nitzschia linearis,BACILLARIOPHYTA,4/27/2016,649,1,2,16.5,39982.1,2430
Nitzschia palea,BACILLARIOPHYTA,4/27/2016,649,1,1,8.2,4319,525
Nitzschia spp.,BACILLARIOPHYTA,4/27/2016,649,1,41,337.3,38451.9,114
Staurosira venter,BACILLARIOPHYTA,4/27/2016,649,1,8,65.8,11165.1,169.6
Thalassiosira spp.,BACILLARIOPHYTA,4/27/2016,649,1,20,164.5,151969.2,923.6
Unknown Diatom,BACILLARIOPHYTA,4/27/2016,649,1,3,24.7,2093.5,84.8
Unknown Diatom,BACILLARIOPHYTA,4/27/2016,649,1,2,16.5,1395.6,84.8
Chlamydomonas spp.,CHLOROPHYTA,4/27/2016,649,1,4,32.9,8821.8,268.1
Monoraphidium contortum,CHLOROPHYTA,4/27/2016,649,1,5,41.1,1464.6,35.6
Monoraphidium minutum,CHLOROPHYTA,4/27/2016,649,1,3,24.7,232.6,9.4
Scenedesmus sp.,CHLOROPHYTA,4/27/2016,649,1,4,32.9,1240.6,37.7
Unknown Chlorophyte,CHLOROPHYTA,4/27/2016,649,1,4,32.9,465.2,14.1
Cryptomonas marssonii,CRYPTOPHYTA,4/27/2016,649,1,1,0.2,316.8,1583.9
Cryptomonas spp.,CRYPTOPHYTA,4/27/2016,649,1,2,16.5,10475.9,636.7
Plagioselmis nannoplanctica,CRYPTOPHYTA,4/27/2016,649,1,8,65.8,14335.4,217.8
Plagioselmis prolonga,CRYPTOPHYTA,4/27/2016,649,1,34,279.7,23725.8,84.8
Teleaulax sp.,CRYPTOPHYTA,4/27/2016,649,1,5,41.1,20848.4,506.8
Chroococcus microscopicus,CYANOPHYCEAE,4/27/2016,649,1,306,32726,8773.3,0.3
Planktothrix sp.,CYANOPHYCEAE,4/27/2016,649,1,20,164.5,2326.1,14.1
Unknown Dinoflagellate,DINOPHYCEAE,4/27/2016,649,1,1,8.2,17643.6,2143.8
Achnanthidium minutissimum,BACILLARIOPHYTA,5/18/2016,4,1,2,22.6,1386.6,61.3
Amphora sp.,BACILLARIOPHYTA,5/18/2016,4,1,1,11.3,622.5,55
Aulacoseira granulata,BACILLARIOPHYTA,5/18/2016,4,1,144,1629.7,7570892.8,4645.6
Aulacoseira sp.,BACILLARIOPHYTA,5/18/2016,4,1,99,1120.4,4907560.9,4380.2
Cocconeis placentula,BACILLARIOPHYTA,5/18/2016,4,1,2,22.6,9066.3,400.6
Cyclotella atomus,BACILLARIOPHYTA,5/18/2016,4,1,1,11.3,2275.5,201.1
Cyclotella sp.,BACILLARIOPHYTA,5/18/2016,4,1,1,0.3,593.8,2047.5
Entomoneis sp.,BACILLARIOPHYTA,5/18/2016,4,1,15,169.8,1237549.8,7290
Epithemia sp.,BACILLARIOPHYTA,5/18/2016,4,1,1,0.3,146.3,512
Fragilaria brevistriata,BACILLARIOPHYTA,5/18/2016,4,1,18,203.7,26398.9,129.6
Gomphonema truncatum,BACILLARIOPHYTA,5/18/2016,4,1,1,0.3,124.9,437
Gyrosigma sp.,BACILLARIOPHYTA,5/18/2016,4,1,1,0.3,1259.2,4341.9
Hippodonta capitata,BACILLARIOPHYTA,5/18/2016,4,1,1,11.3,3039.9,268.6
Nitzschia amphibia,BACILLARIOPHYTA,5/18/2016,4,1,1,5.2,517.5,99.8
Nitzschia filiformis,BACILLARIOPHYTA,5/18/2016,4,1,1,11.3,3649.8,322.5
Nitzschia spp.,BACILLARIOPHYTA,5/18/2016,4,1,7,79.2,5703.9,72
Nitzschia spp.,BACILLARIOPHYTA,5/18/2016,4,1,1,11.3,25294,2234.5
Paralia sulcata,BACILLARIOPHYTA,5/18/2016,4,1,1,11.3,4444.3,392.7
Planothidium apiculatum,BACILLARIOPHYTA,5/18/2016,4,1,1,0.3,176.7,618.5
Rhoicosphenia sp.,BACILLARIOPHYTA,5/18/2016,4,1,1,0.3,261.9,916.7
Thalassiosira spp.,BACILLARIOPHYTA,5/18/2016,4,1,5,56.6,52264.5,923.6
Unknown Diatom,BACILLARIOPHYTA,5/18/2016,4,1,11,124.5,8873,71.3
Unknown Diatom,BACILLARIOPHYTA,5/18/2016,4,1,1,0.3,46.5,160.2
Unknown Diatom,BACILLARIOPHYTA,5/18/2016,4,1,2,22.6,778777.3,34413.5
Cryptomonas spp.,CRYPTOPHYTA,5/18/2016,4,1,1,0.3,153.2,536.2
Plagioselmis prolonga,CRYPTOPHYTA,5/18/2016,4,1,4,45.3,8343.4,184.3
Chroococcus microscopicus,CYANOPHYCEAE,5/18/2016,4,1,295,45070.9,12082.7,0.3
Unknown Cyanophyte,CYANOPHYCEAE,5/18/2016,4,1,63,18,381.7,21.2
Trachelomonas sp.,EUGLENOPHYTA,5/18/2016,4,1,1,0.3,164.6,576
Actinocyclus curvatulus,BACILLARIOPHYTA,5/18/2016,6,1,1,0.5,5670.6,11341.1
Aulacoseira granulata,BACILLARIOPHYTA,5/18/2016,6,1,50,267.4,889313.9,3326.2
Aulacoseira sp.,BACILLARIOPHYTA,5/18/2016,6,1,30,160.4,176392.8,1099.6
Chaetoceros sp.,BACILLARIOPHYTA,5/18/2016,6,1,3,16,4611.4,287.5
Cocconeis placentula,BACILLARIOPHYTA,5/18/2016,6,1,3,16,7899.9,492.4
Cyclotella atomus,BACILLARIOPHYTA,5/18/2016,6,1,6,32.1,4838.2,150.8
Cyclotella meneghiniana,BACILLARIOPHYTA,5/18/2016,6,1,2,10.7,9878,923.6
Diatoma mesodon,BACILLARIOPHYTA,5/18/2016,6,1,1,5.3,1889.9,353.4
Diploneis smithii,BACILLARIOPHYTA,5/18/2016,6,1,1,0.5,791.7,1583.4
Encyonema sp.,BACILLARIOPHYTA,5/18/2016,6,1,2,10.7,3137.5,293.4
Entomoneis sp.,BACILLARIOPHYTA,5/18/2016,6,1,1,5.3,41494.3,7759.7
Fragilaria sp.,BACILLARIOPHYTA,5/18/2016,6,1,2,10.7,5039.8,471.2
Luticola muticopsis,BACILLARIOPHYTA,5/18/2016,6,1,2,10.7,4283.8,400.6
Nitzschia spp.,BACILLARIOPHYTA,5/18/2016,6,1,7,37.4,3537.3,94.5
Rhopalodia sp.,BACILLARIOPHYTA,5/18/2016,6,1,1,5.3,1016.1,190
Staurosira venter,BACILLARIOPHYTA,5/18/2016,6,1,1,5.3,378,70.7
Thalassiosira spp.,BACILLARIOPHYTA,5/18/2016,6,1,3,16,7622.7,475.2
Thalassiosira spp.,BACILLARIOPHYTA,5/18/2016,6,1,1,5.4,6450.9,1205.8
Tryblionella kuetzingii,BACILLARIOPHYTA,5/18/2016,6,1,1,0.5,644,1288.1
Unknown Diatom,BACILLARIOPHYTA,5/18/2016,6,1,1,267.4,6719.7,25.1
Unknown Diatom,BACILLARIOPHYTA,5/18/2016,6,1,16,85.6,4838.2,56.5
Scenedesmus sp.,CHLOROPHYTA,5/18/2016,6,1,3,16,604.8,37.7
Mallomonas sp.,CHRYSOPHYCEAE,5/18/2016,6,1,2,10.7,2217.5,207.3
Plagioselmis lacustris,CRYPTOPHYTA,5/18/2016,6,1,3,16,13485.7,840.6
Plagioselmis prolonga,CRYPTOPHYTA,5/18/2016,6,1,9,48.1,8870,184.3
Teleaulax sp.,CRYPTOPHYTA,5/18/2016,6,1,6,32.1,12599.5,392.7
Chroococcus microscopicus,CYANOPHYCEAE,5/18/2016,6,1,223,59623.4,15984,0.3
Heterocapsa rotundata,DINOPHYCEAE,5/18/2016,6,1,2,10.7,2365.9,221.2
Karenia sp.,DINOPHYCEAE,5/18/2016,6,1,1,5.3,3387.9,633.6
Unknown Dinoflagellate,DINOPHYCEAE,5/18/2016,6,1,1,9.1,19473,2144.6
Nitzschia spp.,BACILLARIOPHYTA,5/18/2016,13,1,1,3.6,310.5,85.5
Skeletonema sp.,BACILLARIOPHYTA,5/18/2016,13,1,9,64.2,3628.7,56.5
Thalassiosira spp.,BACILLARIOPHYTA,5/18/2016,13,1,7,49.9,19599.2,392.7
Thalassiosira spp.,BACILLARIOPHYTA,5/18/2016,13,1,1,7.1,21682.3,3041
Thalassiosira spp.,BACILLARIOPHYTA,5/18/2016,13,1,1,7.1,118491.2,16618.7
Tryblionella compressa,BACILLARIOPHYTA,5/18/2016,13,1,1,7.1,2855.9,400.6
Unknown Diatom,BACILLARIOPHYTA,5/18/2016,13,1,4,171.1,8164.5,47.7
Unknown Diatom,BACILLARIOPHYTA,5/18/2016,13,1,2,14.3,1209.6,84.8
Unknown Ciliate,CILIOPHORA,5/18/2016,13,1,3,10.9,143936.4,13205.2
Cryptomonas spp.,CRYPTOPHYTA,5/18/2016,13,1,6,42.8,30104.4,703.7
Plagioselmis nannoplanctica,CRYPTOPHYTA,5/18/2016,13,1,6,42.8,21682.3,506.8
Plagioselmis prolonga,CRYPTOPHYTA,5/18/2016,13,1,168,1197.8,220765.4,184.3
Teleaulax sp.,CRYPTOPHYTA,5/18/2016,13,1,69,492,391793.7,796.4
Chroococcus microscopicus,CYANOPHYCEAE,5/18/2016,13,1,246,10523.7,2821.2,0.3
Heterocapsa rotundata,DINOPHYCEAE,5/18/2016,13,1,33,235.3,48785.2,207.3
Unknown Euglenophyte,EUGLENOPHYTA,5/18/2016,13,1,2,14.3,2150.3,150.8
Unknown Haptophyte,HAPTOPHYTA,5/18/2016,13,1,2,14.3,1612.7,113.1
Actinocyclus curvatulus,BACILLARIOPHYTA,5/18/2016,18,4,1,9.7,311306.6,32019.1
Actinoptychus senarius,BACILLARIOPHYTA,5/18/2016,18,4,1,0.2,95,475.2
Asterionellopsis glacialis,BACILLARIOPHYTA,5/18/2016,18,4,5,48.6,10694.8,220
Chaetoceros spp.,BACILLARIOPHYTA,5/18/2016,18,4,12,116.7,74863.9,641.7
Cocconeis scutellum,BACILLARIOPHYTA,5/18/2016,18,4,1,3.6,1506.1,414.7
Coscinodiscus radiatus,BACILLARIOPHYTA,5/18/2016,18,4,1,9.7,801602.4,82447.9
Ditylum brightwellii,BACILLARIOPHYTA,5/18/2016,18,4,1,0.2,5937.6,29687.5
Entomoneis sp.,BACILLARIOPHYTA,5/18/2016,18,4,1,3.6,24326,6701.4
Eunotogramma dubium,BACILLARIOPHYTA,5/18/2016,18,4,2,7.3,1825.6,251.3
Navicula spp.,BACILLARIOPHYTA,5/18/2016,18,4,1,3.6,1069.7,294.5
Nitzschia incerta,BACILLARIOPHYTA,5/18/2016,18,4,10,97.2,15313,157.5
Odontella aurita,BACILLARIOPHYTA,5/18/2016,18,4,4,38.9,171780.7,4417.1
Pleurosigma sp.,BACILLARIOPHYTA,5/18/2016,18,4,1,0.2,299,1495
Skeletonema sp.,BACILLARIOPHYTA,5/18/2016,18,4,121,1176.4,115495.3,98.2
Thalassionema bacillare,BACILLARIOPHYTA,5/18/2016,18,4,1,9.7,5250.2,540
Thalassionema nitzschioides,BACILLARIOPHYTA,5/18/2016,18,4,1,9.7,21146.5,2175
Thalassiosira angulata,BACILLARIOPHYTA,5/18/2016,18,4,1,9.7,22175.1,2280.8
Thalassiosira spp.,BACILLARIOPHYTA,5/18/2016,18,4,54,525,249469.9,475.2
Thalassiosira spp.,BACILLARIOPHYTA,5/18/2016,18,4,1,3.6,19191.5,5286.9
Thalassiosira spp.,BACILLARIOPHYTA,5/18/2016,18,4,10,97.2,781931.9,8042.1
Tropidoneis sp.,BACILLARIOPHYTA,5/18/2016,18,4,1,3.6,65721.3,18095.6
Unknown Diatom,BACILLARIOPHYTA,5/18/2016,18,4,12,641.7,20159.2,31.4
Unknown Diatom,BACILLARIOPHYTA,5/18/2016,18,4,6,58.3,8796.7,150.8
Unknown Diatom,BACILLARIOPHYTA,5/18/2016,18,4,3,29.2,8246.9,282.7
Unknown Diatom,BACILLARIOPHYTA,5/18/2016,18,4,4,38.9,62554.6,1608.5
Pyramimonas spp.,CHLOROPHYTA,5/18/2016,18,4,1,3.6,1955.9,538.5
Dictyocha speculum,CHRYSOPHYCEAE,5/18/2016,18,4,1,3.6,6521.7,1795.7
Unknown Ciliate,CILIOPHORA,5/18/2016,18,4,3,29.2,9774.2,335.1
Unknown Ciliate,CILIOPHORA,5/18/2016,18,4,1,9.7,586693.3,60359.4
Cryptomonas spp.,CRYPTOPHYTA,5/18/2016,18,4,1,9.7,6190.3,636.7
Plagioselmis prolonga,CRYPTOPHYTA,5/18/2016,18,4,24,233.3,43006.3,184.3
Teleaulax sp.,CRYPTOPHYTA,5/18/2016,18,4,33,320.8,255517.6,796.4
Chroococcus microscopicus,CYANOPHYCEAE,5/18/2016,18,4,244,13047.6,3497.8,0.3
Heterocapsa rotundata,DINOPHYCEAE,5/18/2016,18,4,5,48.6,5090.7,104.7
Phalacroma oxytoxoides,DINOPHYCEAE,5/18/2016,18,4,1,3.6,23337.1,6425.6
Scrippsiella sp.,DINOPHYCEAE,5/18/2016,18,4,1,0.2,177.4,887
Unknown Dinoflagellate,DINOPHYCEAE,5/18/2016,18,4,1,9.7,7279.7,748.9
Unknown Dinoflagellate,DINOPHYCEAE,5/18/2016,18,4,1,9.7,29403.9,3025.1
Asterionellopsis glacialis,BACILLARIOPHYTA,5/18/2016,22,1,8,55.2,12143.8,220
Aulacoseira sp.,BACILLARIOPHYTA,5/18/2016,22,1,1,3.6,7302.4,2011.7
Chaetoceros spp.,BACILLARIOPHYTA,5/18/2016,22,1,8,55.2,17731.4,321.2
Eunotogramma sp.,BACILLARIOPHYTA,5/18/2016,22,1,1,6.9,2818,408.4
Nitzschia incerta,BACILLARIOPHYTA,5/18/2016,22,1,9,62.1,12575,202.5
Nitzschia spp.,BACILLARIOPHYTA,5/18/2016,22,1,3,20.7,2794.4,135
Paralia sulcata,BACILLARIOPHYTA,5/18/2016,22,1,4,14.5,9128,628.3
Skeletonema sp.,BACILLARIOPHYTA,5/18/2016,22,1,92,634.8,323067.2,508.9
Thalassiosira angulata,BACILLARIOPHYTA,5/18/2016,22,1,2,13.8,31474.3,2280.8
Thalassiosira spp.,BACILLARIOPHYTA,5/18/2016,22,1,57,393.3,154445.3,392.7
Thalassiosira spp.,BACILLARIOPHYTA,5/18/2016,22,1,1,6.9,55491.9,8042.3
Unknown Diatom,BACILLARIOPHYTA,5/18/2016,22,1,2,71.3,1008,14.1
Pyramimonas spp.,CHLOROPHYTA,5/18/2016,22,1,2,13.8,14653.3,1061.9
Unknown Ciliate,CILIOPHORA,5/18/2016,22,1,1,3.6,6749,1859.2
Cryptomonas spp.,CRYPTOPHYTA,5/18/2016,22,1,2,13.8,15173.6,1099.6
Plagioselmis prolonga,CRYPTOPHYTA,5/18/2016,22,1,61,420.9,53992.6,128.3
Teleaulax sp.,CRYPTOPHYTA,5/18/2016,22,1,38,262.2,208810.1,796.4
Chroococcus microscopicus,CYANOPHYCEAE,5/18/2016,22,1,293,10445.2,2800.2,0.3
Gyrodinium spirale,DINOPHYCEAE,5/18/2016,22,1,1,0.2,1869.3,9346.2
Heterocapsa rotundata,DINOPHYCEAE,5/18/2016,22,1,15,103.5,13114.3,126.7
Heterocapsa triquetra,DINOPHYCEAE,5/18/2016,22,1,3,0.6,1725.1,2875.1
Unknown Dinoflagellate,DINOPHYCEAE,5/18/2016,22,1,1,6.9,20867.3,3024.2
Unknown Euglenophyte,EUGLENOPHYTA,5/18/2016,22,1,1,6.9,7109.9,1030.4
Dicrateria rotunda,HAPTOPHYTA,5/18/2016,22,1,3,20.7,2341.1,113.1
Chaetoceros sp.,BACILLARIOPHYTA,5/18/2016,27,1,1,7.2,2951.2,408.4
Eunotogramma dubium,BACILLARIOPHYTA,5/18/2016,27,1,3,21.7,3064.7,141.4
Nitzschia incerta,BACILLARIOPHYTA,5/18/2016,27,1,1,7.2,1560.9,216
Nitzschia spp.,BACILLARIOPHYTA,5/18/2016,27,1,5,36.1,3902.2,108
Paralia sulcata,BACILLARIOPHYTA,5/18/2016,27,1,5,36.1,38366,1061.9
Skeletonema sp.,BACILLARIOPHYTA,5/18/2016,27,1,115,831,15990.6,19.2
Thalassiosira angulata,BACILLARIOPHYTA,5/18/2016,27,1,4,28.9,19183,663.7
Thalassiosira spp.,BACILLARIOPHYTA,5/18/2016,27,1,108,780.4,306474.1,392.7
Unknown Diatom,BACILLARIOPHYTA,5/18/2016,27,1,4,356.5,5039.8,14.1
Chlamydomonas spp.,CHLOROPHYTA,5/18/2016,27,1,1,7.2,817.3,113.1
Pyramimonas spp.,CHLOROPHYTA,5/18/2016,27,1,3,21.7,306.5,14.1
Cryptomonas spp.,CRYPTOPHYTA,5/18/2016,27,1,1,7.2,4600.9,636.7
Plagioselmis prolonga,CRYPTOPHYTA,5/18/2016,27,1,45,325.2,59932.7,184.3
Plagioselmis sp.,CRYPTOPHYTA,5/18/2016,27,1,6,43.4,21975.3,506.8
Teleaulax sp.,CRYPTOPHYTA,5/18/2016,27,1,25,180.7,82979.7,459.3
Chroococcus microscopicus,CYANOPHYCEAE,5/18/2016,27,1,212,18894.1,5065.2,0.3
Unknown Cyanophyte,CYANOPHYCEAE,5/18/2016,27,1,37,267.4,2519.9,9.4
Heterocapsa rotundata,DINOPHYCEAE,5/18/2016,27,1,3,21.7,817.3,37.7
Unknown Dinoflagellate,DINOPHYCEAE,5/18/2016,27,1,2,14.5,1816.1,125.7
Unknown Haptophyte,HAPTOPHYTA,5/18/2016,27,1,1,7.2,817.3,113
Actinocyclus curvatulus,BACILLARIOPHYTA,5/18/2016,36,1,3,12.8,65860,5131.8
Actinoptychus senarius,BACILLARIOPHYTA,5/18/2016,36,1,5,21.4,59268,2770.9
Cyclotella sp.,BACILLARIOPHYTA,5/18/2016,36,1,1,4.3,5826,1361.2
Eunotogramma dubium,BACILLARIOPHYTA,5/18/2016,36,1,2,8.6,1612.7,188.5
